freq(mhz),time(ms)
75,12673
76,12507
77,12357
78,12187
79,12044
80,11882
81,11747
82,11592
83,11464
84,11316
85,11194
86,11053
87,10937
88,10801
89,10691
90,10562
91,10457
92,10332
93,10221
94,10122
95,10006
96,9911
97,9799
98,9709
99,9602
100,9515
101,9411
102,9329
103,9229
104,9149
105,9052
106,8976
107,8883
108,8810
109,8721
110,8650
111,8563
112,8487
113,8421
114,8338
115,8274
116,8194
117,8132
118,8055
119,7995
120,7921
121,7864
122,7791
123,7736
124,7666
125,7611
126,7543
127,7492
128,7425
129,7376
130,7312
131,7255
132,7208
133,7146
134,7100
135,7041
140,6796
150,6336
160,5946
170,5591
180,5286
190,5002
200,4757
210,4526
220,4325
230,4132
240,3964
250,3802
